"","gene_name","gene_alias","gene_title","chr","map"
"STK38L","STK38L","STK38L","serine/threonine kinase 38 like","12","12p11.23"
"STK39","STK39","STK39","serine/threonine kinase 39","2","2q24.3"
"STK4","STK4","STK4","serine/threonine kinase 4","20","20q13.12"
"STK40","STK40","STK40","serine/threonine kinase 40","1","1p34.3"
"STMN1","STMN1","STMN1","stathmin 1","1","1p36.11"
"STMN2","STMN2","STMN2","stathmin 2","8","8q21.13"
"STOM","STOM","STOM","stomatin","9","9q33.2"
"STOML2","STOML2","STOML2","stomatin like 2","9","9p13.3"
"STRA13","STRA13","STRA13",NA,NA,NA
"STRADA","STRADA","STRADA","STE20-related kinase adaptor alpha","17","17q23.3"
"STRAP","STRAP","STRAP","serine/threonine kinase receptor associated protein","12","12p12.3"
"STRBP","STRBP","STRBP","spermatid perinuclear RNA binding protein","9","9q33.3"
"STRN","STRN","STRN","striatin","2","2p22.2"
"STRN3","STRN3","STRN3","striatin 3","14","14q12"
"STRN4","STRN4","STRN4","striatin 4","19","19q13.32"
"STT3A","STT3A","STT3A","STT3A, catalytic subunit of the oligosaccharyltransferase complex","11","11q24.2"
"STT3B","STT3B","STT3B","STT3B, catalytic subunit of the oligosaccharyltransferase complex","3","3p23"
"STUB1","STUB1","STUB1","STIP1 homology and U-box containing protein 1","16","16p13.3"
"STX10","STX10","STX10","syntaxin 10","19","19p13.13"
"STX11","STX11","STX11","syntaxin 11","6","6q24.2"
"STX12","STX12","STX12","syntaxin 12","1","1p35.3"
"STX16","STX16","STX16;STX16-NPEPL1","syntaxin 16","20","20q13.32"
"STX17","STX17","STX17","syntaxin 17","9","9q31.1"
"STX18","STX18","STX18","syntaxin 18","4","4p16.3-p16.2"
"STX3","STX3","STX3","syntaxin 3","11","11q12.1"
"STX4","STX4","STX4","syntaxin 4","16","16p11.2"
"STX5","STX5","STX5;STX5A","syntaxin 5","11","11q12.3"
"STX6","STX6","STX6","syntaxin 6","1","1q25.3"
"STX7","STX7","STX7","syntaxin 7","6","6q23.2"
"STX8","STX8","STX8","syntaxin 8","17","17p13.1"
"STXBP1","STXBP1","STXBP1","syntaxin binding protein 1","9","9q34.11"
"STXBP2","STXBP2","STXBP2","syntaxin binding protein 2","19","19p13.2"
"STXBP3","STXBP3","STXBP3","syntaxin binding protein 3","1","1p13.3"
"STXBP4","STXBP4","STXBP4","syntaxin binding protein 4","17","17q22"
"STXBP5","STXBP5","STXBP5","syntaxin binding protein 5","6","6q24.3"
"STYX","STYX","STYX","serine/threonine/tyrosine interacting protein","14","14q22.1"
"SUB1","SUB1","SUB1","SUB1 homolog, transcriptional regulator","5","5p13.3"
"SUCLA2","SUCLA2","SUCLA2","succinate-CoA ligase ADP-forming beta subunit","13","13q14.2"
"SUCLG1","SUCLG1","SUCLG1","succinate-CoA ligase alpha subunit","2","2p11.2"
"SUCLG2","SUCLG2","SUCLG2","succinate-CoA ligase GDP-forming beta subunit","3","3p14.1"
"SUDS3","SUDS3","SUDS3","SDS3 homolog, SIN3A corepressor complex component","12","12q24.23"
"SUGP1","SUGP1","SUGP1","SURP and G-patch domain containing 1","19","19p13.11"
"SUGP2","SUGP2","SUGP2","SURP and G-patch domain containing 2","19","19p13.11"
"SUGT1","SUGT1","SUGT1","SGT1 homolog, MIS12 kinetochore complex assembly cochaperone","13","13q14.3"
"SULT1B1","SULT1B1","SULT1B1","sulfotransferase family 1B member 1","4","4q13.3"
"SUMF2","SUMF2","SUMF2","sulfatase modifying factor 2","7","7p11.2"
"SUMO1","SUMO1","SUMO1","small ubiquitin-like modifier 1","2","2q33.1"
"SUMO2","SUMO2","SUMO2","small ubiquitin-like modifier 2","17","17q25.1"
"SUMO3","SUMO3","SUMO3","small ubiquitin-like modifier 3","21","21q22.3"
"SUN1","SUN1","SUN1;UNC84A","Sad1 and UNC84 domain containing 1","7","7p22.3"
"SUN2","SUN2","SUN2","Sad1 and UNC84 domain containing 2","22","22q13.1"
"SUPT16H","SUPT16H","SUPT16H","SPT16 homolog, facilitates chromatin remodeling subunit","14","14q11.2"
"SUPT4H1","SUPT4H1","SUPT4H1","SPT4 homolog, DSIF elongation factor subunit","17","17q22"
"SUPT5H","SUPT5H","SUPT5H","SPT5 homolog, DSIF elongation factor subunit","19","19q13.2"
"SUPT6H","SUPT6H","SUPT6H","SPT6 homolog, histone chaperone","17","17q11.2"
"SUPT7L","SUPT7L","SUPT7L","SPT7 like, STAGA complex gamma subunit","2","2p23.3"
"SUPV3L1","SUPV3L1","SUPV3L1","Suv3 like RNA helicase","10","10q22.1"
"SURF1","SURF1","SURF1","SURF1, cytochrome c oxidase assembly factor","9","9q34.2"
"SURF2","SURF2","SURF2","surfeit 2","9","9q34.2"
"SURF4","SURF4","SURF4","surfeit 4","9","9q34.2"
"SURF6","SURF6","SURF6","surfeit 6","9","9q34.2"
"SUV39H1","SUV39H1","SUV39H1","suppressor of variegation 3-9 homolog 1","X","Xp11.23"
"SUZ12","SUZ12","SUZ12","SUZ12, polycomb repressive complex 2 subunit","17","17q11.2"
"SVIL","SVIL","SVIL","supervillin","10","10p11.23"
"SVIP","SVIP","SVIP","small VCP interacting protein","11","11p14.3"
"SWAP70","SWAP70","SWAP70","switching B cell complex subunit SWAP70","11","11p15.4"
"SYAP1","SYAP1","SYAP1","synapse associated protein 1","X","Xp22.2"
"SYF2","SYF2","SYF2","SYF2 pre-mRNA splicing factor","1","1p36.11"
"SYMPK","SYMPK","SYMPK","symplekin","19","19q13.32"
"SYNCRIP","SYNCRIP","SYNCRIP","synaptotagmin binding cytoplasmic RNA interacting protein","6","6q14.3"
"SYNE1","SYNE1","SYNE1","spectrin repeat containing nuclear envelope protein 1","6","6q25.2"
"SYNE2","SYNE2","SYNE2","spectrin repeat containing nuclear envelope protein 2","14","14q23.2"
"SYNGR2","SYNGR2","SYNGR2","synaptogyrin 2","17","17q25.3"
"SYNJ1","SYNJ1","SYNJ1","synaptojanin 1","21","21q22.11"
"SYNJ2","SYNJ2","SYNJ2","synaptojanin 2","6","6q25.3"
"SYNJ2BP","SYNJ2BP","SYNJ2BP","synaptojanin 2 binding protein","14","14q24.2"
"SYNM","SYNM","SYNM","synemin","15","15q26.3"
"SYNRG","SYNRG","SYNRG","synergin gamma","17","17q12"
"SYPL1","SYPL1","SYPL1","synaptophysin like 1","7","7q22.3"
"SYTL1","SYTL1","SYTL1","synaptotagmin like 1","1","1p36.11"
"SYTL3","SYTL3","SYTL3","synaptotagmin like 3","6","6q25.3"
"SZT2","SZT2","SZT2","SZT2, KICSTOR complex subunit","1","1p34.2"
"TAB1","TAB1","TAB1","TGF-beta activated kinase 1 (MAP3K7) binding protein 1","22","22q13.1"
"TAB2","TAB2","TAB2","TGF-beta activated kinase 1 (MAP3K7) binding protein 2","6","6q25.1"
"TAB3","TAB3","TAB3","TGF-beta activated kinase 1 (MAP3K7) binding protein 3","X","Xp21.2"
"TACC1","TACC1","TACC1","transforming acidic coiled-coil containing protein 1","8","8p11.22"
"TACC3","TACC3","TACC3","transforming acidic coiled-coil containing protein 3","4","4p16.3"
"TACO1","TACO1","TACO1","translational activator of cytochrome c oxidase I","17","17q23.3"
"TADA1","TADA1","TADA1","transcriptional adaptor 1","1","1q24.1"
"TADA2B","TADA2B","TADA2B","transcriptional adaptor 2B","4","4p16.1"
"TADA3","TADA3","TADA3","transcriptional adaptor 3","3","3p25.3"
"TAF1","TAF1","TAF1;N-TAF1","TATA-box binding protein associated factor 1","X","Xq13.1"
"TAF10","TAF10","TAF10","TATA-box binding protein associated factor 10","11","11p15.4"
"TAF12","TAF12","TAF12","TATA-box binding protein associated factor 12","1","1p35.3"
"TAF15","TAF15","TAF15","TATA-box binding protein associated factor 15","17","17q12"
"TAF1B","TAF1B","TAF1B","TATA-box binding protein associated factor, RNA polymerase I subunit B","2","2p25.1"
"TAF1C","TAF1C","TAF1C","TATA-box binding protein associated factor, RNA polymerase I subunit C","16","16q24.1"
"TAF2","TAF2","TAF2","TATA-box binding protein associated factor 2","8","8q24.12"
"TAF3","TAF3","TAF3","TATA-box binding protein associated factor 3","10","10p14"
"TAF4","TAF4","TAF4","TATA-box binding protein associated factor 4","20","20q13.33"
"TAF5","TAF5","TAF5","TATA-box binding protein associated factor 5","10","10q24.33"
"TAF5L","TAF5L","TAF5L","TATA-box binding protein associated factor 5 like","1","1q42.13"
"TAF6","TAF6","TAF6","TATA-box binding protein associated factor 6","7","7q22.1"
"TAF6L","TAF6L","TAF6L","TATA-box binding protein associated factor 6 like","11","11q12.3"
"TAF7","TAF7","TAF7","TATA-box binding protein associated factor 7","5","5q31.3"
"TAF8","TAF8","TAF8","TATA-box binding protein associated factor 8","6","6p21.1"
"TAF9","TAF9","TAF9","TATA-box binding protein associated factor 9","5","5q13.2"
"TAF9B","TAF9B","TAF9B","TATA-box binding protein associated factor 9b","X","Xq21.1"
"TAGAP","TAGAP","TAGAP","T cell activation RhoGTPase activating protein","6","6q25.3"
"TAGLN2","TAGLN2","TAGLN2","transgelin 2","1","1q23.2"
"TALDO1","TALDO1","TALDO1","transaldolase 1","11","11p15.5"
"TAMM41","TAMM41","TAMM41","TAM41 mitochondrial translocator assembly and maintenance homolog","3","3p25.2"
"TANK","TANK","TANK","TRAF family member associated NFKB activator","2","2q24.2"
"TAOK3","TAOK3","TAOK3","TAO kinase 3","12","12q24.23"
"TAP1","TAP1","TAP1","transporter 1, ATP binding cassette subfamily B member","6","6p21.32"
"TAP2","TAP2","TAP2","transporter 2, ATP binding cassette subfamily B member","6","6p21.32"
"TAPBP","TAPBP","TAPBP","TAP binding protein","6","6p21.32"
"TAPBPL","TAPBPL","TAPBPL","TAP binding protein like","12","12p13.31"
"TAPT1","TAPT1","TAPT1","transmembrane anterior posterior transformation 1","4","4p15.32"
"TARBP1","TARBP1","TARBP1","TAR (HIV-1) RNA binding protein 1","1","1q42.2"
"TARBP2","TARBP2","TARBP2","TARBP2, RISC loading complex RNA binding subunit","12","12q13.13"
"TARDBP","TARDBP","TARDBP","TAR DNA binding protein","1","1p36.22"
"TARS","TARS","TARS","threonyl-tRNA synthetase","5","5p13.3"
"TARS2","TARS2","TARS2;TARSL1","threonyl-tRNA synthetase 2, mitochondrial","1","1q21.2"
"TARSL2","TARSL2","TARSL2","threonyl-tRNA synthetase like 2","15","15q26.3"
"TASP1","TASP1","TASP1","taspase 1","20","20p12.1"
"TATDN1","TATDN1","TATDN1","TatD DNase domain containing 1","8","8q24.13"
"TATDN2","TATDN2","TATDN2","TatD DNase domain containing 2","3","3p25.3"
"TATDN3","TATDN3","TATDN3","TatD DNase domain containing 3","1","1q32.3"
"TAX1BP1","TAX1BP1","TAX1BP1","Tax1 binding protein 1","7","7p15.2"
"TAX1BP3","TAX1BP3","TAX1BP3","Tax1 binding protein 3","17","17p13.2"
"TAZ","TAZ","TAZ","tafazzin","X","Xq28"
"TBC1D1","TBC1D1","TBC1D1","TBC1 domain family member 1","4","4p14"
"TBC1D10A","TBC1D10A","TBC1D10A","TBC1 domain family member 10A","22","22q12.2"
"TBC1D10B","TBC1D10B","TBC1D10B","TBC1 domain family member 10B","16","16p11.2"
"TBC1D10C","TBC1D10C","TBC1D10C","TBC1 domain family member 10C","11","11q13.2"
"TBC1D13","TBC1D13","TBC1D13","TBC1 domain family member 13","9","9q34.11"
"TBC1D14","TBC1D14","TBC1D14","TBC1 domain family member 14","4","4p16.1"
"TBC1D15","TBC1D15","TBC1D15","TBC1 domain family member 15","12","12q21.1"
"TBC1D17","TBC1D17","TBC1D17","TBC1 domain family member 17","19","19q13.33"
"TBC1D20","TBC1D20","TBC1D20","TBC1 domain family member 20","20","20p13"
"TBC1D22A","TBC1D22A","TBC1D22A","TBC1 domain family member 22A","22","22q13.31"
"TBC1D22B","TBC1D22B","TBC1D22B","TBC1 domain family member 22B","6","6p21.2"
"TBC1D23","TBC1D23","TBC1D23","TBC1 domain family member 23","3","3q12.1-q12.2"
"TBC1D24","TBC1D24","TBC1D24","TBC1 domain family member 24","16","16p13.3"
"TBC1D25","TBC1D25","TBC1D25","TBC1 domain family member 25","X","Xp11.23"
"TBC1D2B","TBC1D2B","TBC1D2B","TBC1 domain family member 2B","15","15q24.3-q25.1"
"TBC1D4","TBC1D4","TBC1D4","TBC1 domain family member 4","13","13q22.2"
"TBC1D5","TBC1D5","TBC1D5","TBC1 domain family member 5","3","3p24.3"
"TBC1D7","TBC1D7","TBC1D7","TBC1 domain family member 7","6","6p24.1"
"TBC1D9B","TBC1D9B","TBC1D9B","TBC1 domain family member 9B","5","5q35.3"
"TBCA","TBCA","TBCA","tubulin folding cofactor A","5","5q14.1"
"TBCB","TBCB","TBCB","tubulin folding cofactor B","19","19q13.12"
"TBCC","TBCC","TBCC","tubulin folding cofactor C","6","6p21.1"
"TBCD","TBCD","TBCD","tubulin folding cofactor D","17","17q25.3"
"TBCE","TBCE","TBCE","tubulin folding cofactor E","1","1q42.3"
"TBCEL","TBCEL","TBCEL","tubulin folding cofactor E like","11","11q23.3"
"TBCK","TBCK","TBCK","TBC1 domain containing kinase","4","4q24"
"TBK1","TBK1","TBK1","TANK binding kinase 1","12","12q14.2"
"TBL1X","TBL1X","TBL1X","transducin beta like 1 X-linked","X","Xp22.31-p22.2"
"TBL1XR1","TBL1XR1","TBL1XR1","transducin beta like 1 X-linked receptor 1","3","3q26.32"
"TBL2","TBL2","TBL2","transducin beta like 2","7","7q11.23"
"TBL3","TBL3","TBL3","transducin beta like 3","16","16p13.3"
"TBP","TBP","TBP;TBPL2","TATA-box binding protein","6","6q27"
"TBPL1","TBPL1","TBPL1","TATA-box binding protein like 1","6","6q23.2"
"TBRG1","TBRG1","TBRG1","transforming growth factor beta regulator 1","11","11q24.2"
"TBRG4","TBRG4","TBRG4","transforming growth factor beta regulator 4","7","7p13"
"TBX21","TBX21","TBX21","T-box 21","17","17q21.32"
"TBXAS1","TBXAS1","TBXAS1","thromboxane A synthase 1","7","7q34"
"TCEA1","TCEA1","TCEA1","transcription elongation factor A1","8","8q11.23"
"TCEA3","TCEA3","TCEA3","transcription elongation factor A3","1","1p36.12"
"TCEAL3","TCEAL3","TCEAL3;TCEAL5","transcription elongation factor A like 3","X","Xq22.2"
"TCEAL4","TCEAL4","TCEAL4","transcription elongation factor A like 4","X","Xq22.2"
"TCEANC2","TCEANC2","TCEANC2","transcription elongation factor A N-terminal and central domain containing 2","1","1p32.3"
"TCEB1","TCEB1","TCEB1",NA,NA,NA
"TCEB2","TCEB2","TCEB2",NA,NA,NA
"TCEB3","TCEB3","TCEB3",NA,NA,NA
"TCERG1","TCERG1","TCERG1","transcription elongation regulator 1","5","5q32"
"TCF20","TCF20","TCF20","transcription factor 20","22","22q13.2"
"TCF25","TCF25","TCF25","transcription factor 25","16","16q24.3"
"TCF3","TCF3","TCF3","transcription factor 3","19","19p13.3"
"TCF7","TCF7","TCF7","transcription factor 7","5","5q31.1"
"TCIRG1","TCIRG1","TCIRG1","T cell immune regulator 1, ATPase H+ transporting V0 subunit a3","11","11q13.2"
"TCOF1","TCOF1","TCOF1","treacle ribosome biogenesis factor 1","5","5q32-q33.1"
"TCP1","TCP1","TCP1","t-complex 1","6","6q25.3"
"TCP11L1","TCP11L1","TCP11L1","t-complex 11 like 1","11","11p13"
"TCP11L2","TCP11L2","TCP11L2","t-complex 11 like 2","12","12q23.3"
"TCRA","TCRA","TCRA",NA,NA,NA
"TDG","TDG","TDG","thymine DNA glycosylase","12","12q23.3"
"TDP1","TDP1","TDP1","tyrosyl-DNA phosphodiesterase 1","14","14q32.11"
"TDP2","TDP2","TDP2","tyrosyl-DNA phosphodiesterase 2","6","6p22.3"
"TDRD3","TDRD3","TDRD3","tudor domain containing 3","13","13q21.2"
"TDRD7","TDRD7","TDRD7","tudor domain containing 7","9","9q22.33"
"TDRKH","TDRKH","TDRKH","tudor and KH domain containing","1","1q21.3"
"TECPR1","TECPR1","TECPR1","tectonin beta-propeller repeat containing 1","7","7q21.3"
"TECPR2","TECPR2","TECPR2","tectonin beta-propeller repeat containing 2","14","14q32.31"
"TECR","TECR","TECR","trans-2,3-enoyl-CoA reductase","19","19p13.12"
"TEFM","TEFM","TEFM","transcription elongation factor, mitochondrial","17","17q11.2"
"TELO2","TELO2","TELO2","telomere maintenance 2","16","16p13.3"
"TEP1","TEP1","TEP1","telomerase associated protein 1","14","14q11.2"
"TERF1","TERF1","TERF1","telomeric repeat binding factor 1","8","8q21.11"
"TERF2","TERF2","TERF2","telomeric repeat binding factor 2","16","16q22.1"
"TERF2IP","TERF2IP","TERF2IP","TERF2 interacting protein","16","16q23.1"
"TES","TES","TES","testin LIM domain protein","7","7q31.2"
"TESPA1","TESPA1","TESPA1","thymocyte expressed, positive selection associated 1","12","12q13.2"
"TEX10","TEX10","TEX10","testis expressed 10","9","9q31.1"
"TEX2","TEX2","TEX2","testis expressed 2","17","17q23.3"
"TEX264","TEX264","TEX264","testis expressed 264","3","3p21.2"
"TEX30","TEX30","TEX30","testis expressed 30","13","13q33.1"
"TF","TF","TF","transferrin","3","3q22.1"
"TFAM","TFAM","TFAM","transcription factor A, mitochondrial","10","10q21.1"
"TFAP2A","TFAP2A","TFAP2A","transcription factor AP-2 alpha","6","6p24.3"
"TFAP4","TFAP4","TFAP4","transcription factor AP-4","16","16p13.3"
"TFB1M","TFB1M","TFB1M","transcription factor B1, mitochondrial","6","6q25.3"
"TFB2M","TFB2M","TFB2M","transcription factor B2, mitochondrial","1","1q44"
"TFCP2","TFCP2","TFCP2","transcription factor CP2","12","12q13.12-q13.13"
"TFDP1","TFDP1","TFDP1","transcription factor Dp-1","13","13q34"
"TFG","TFG","TFG","TRK-fused gene","3","3q12.2"
"TFIP11","TFIP11","TFIP11","tuftelin interacting protein 11","22","22q12.1"
"TFPT","TFPT","TFPT","TCF3 fusion partner","19","19q13.42"
"TFRC","TFRC","TFRC","transferrin receptor","3","3q29"
"TGFB1","TGFB1","TGFB1","transforming growth factor beta 1","19","19q13.2"
"TGFBR2","TGFBR2","TGFBR2","transforming growth factor beta receptor 2","3","3p24.1"
"TGFBRAP1","TGFBRAP1","TGFBRAP1","transforming growth factor beta receptor associated protein 1","2","2q12.1-q12.2"
"TGIF2","TGIF2","TGIF2","TGFB induced factor homeobox 2","20","20q11.23"
"TGOLN2","TGOLN2","TGOLN2","trans-golgi network protein 2","2","2p11.2"
"TGS1","TGS1","TGS1","trimethylguanosine synthase 1","8","8q12.1"
"TH1L","TH1L","TH1L",NA,NA,NA
"THADA","THADA","THADA","THADA, armadillo repeat containing","2","2p21"
"THAP11","THAP11","THAP11","THAP domain containing 11","16","16q22.1"
"THAP4","THAP4","THAP4","THAP domain containing 4","2","2q37.3"
"THEM4","THEM4","THEM4","thioesterase superfamily member 4","1","1q21.3"
"THEM6","THEM6","THEM6","thioesterase superfamily member 6","8","8q24.3"
"THEMIS","THEMIS","THEMIS","thymocyte selection associated","6","6q22.33"
"THEMIS2","THEMIS2","THEMIS2;C1orf38","thymocyte selection associated family member 2","1","1p35.3"
"THG1L","THG1L","THG1L","tRNA-histidine guanylyltransferase 1 like","5","5q33.3"
"THNSL1","THNSL1","THNSL1","threonine synthase like 1","10","10p12.1"
"THOC1","THOC1","THOC1","THO complex 1","18","18p11.32"
"THOC2","THOC2","THOC2","THO complex 2","X","Xq25"
"THOC3","THOC3","THOC3","THO complex 3","5","5q35.2"
"THOC5","THOC5","THOC5","THO complex 5","22","22q12.2"
"THOC6","THOC6","THOC6","THO complex 6","16","16p13.3"
"THOC7","THOC7","THOC7","THO complex 7","3","3p14.1"
"THOP1","THOP1","THOP1","thimet oligopeptidase 1","19","19p13.3"
"THRAP3","THRAP3","THRAP3","thyroid hormone receptor associated protein 3","1","1p34.3"
"THTPA","THTPA","THTPA","thiamine triphosphatase","14","14q11.2"
"THUMPD1","THUMPD1","THUMPD1","THUMP domain containing 1","16","16p12.3"
"THUMPD3","THUMPD3","THUMPD3","THUMP domain containing 3","3","3p25.3"
"THYN1","THYN1","THYN1","thymocyte nuclear protein 1","11","11q25"
"TIA1","TIA1","TIA1","TIA1 cytotoxic granule associated RNA binding protein","2","2p13.3"
"TIAM1","TIAM1","TIAM1","T cell lymphoma invasion and metastasis 1","21","21q22.11"
"TIFA","TIFA","TIFA","TRAF interacting protein with forkhead associated domain","4","4q25"
"TIGAR","TIGAR","TIGAR","TP53 induced glycolysis regulatory phosphatase","12","12p13.32"
"TIMELESS","TIMELESS","TIMELESS","timeless circadian regulator","12","12q13.3"
"TIMM10","TIMM10","TIMM10","translocase of inner mitochondrial membrane 10","11","11q12.1"
"TIMM13","TIMM13","TIMM13","translocase of inner mitochondrial membrane 13","19","19p13.3"
"TIMM17A","TIMM17A","TIMM17A","translocase of inner mitochondrial membrane 17A","1","1q32.1"
"TIMM17B","TIMM17B","TIMM17B","translocase of inner mitochondrial membrane 17B","X","Xp11.23"
"TIMM21","TIMM21","TIMM21","translocase of inner mitochondrial membrane 21","18","18q22.3"
"TIMM22","TIMM22","TIMM22","translocase of inner mitochondrial membrane 22","17","17p13.3"
"TIMM23","TIMM23","TIMM23;TIMM23B","translocase of inner mitochondrial membrane 23","10","10q11.22"
"TIMM44","TIMM44","TIMM44","translocase of inner mitochondrial membrane 44","19","19p13.2"
"TIMM50","TIMM50","TIMM50","translocase of inner mitochondrial membrane 50","19","19q13.2"
"TIMM8A","TIMM8A","TIMM8A","translocase of inner mitochondrial membrane 8A","X","Xq22.1"
"TIMM8B","TIMM8B","TIMM8B","translocase of inner mitochondrial membrane 8 homolog B","11","11q23.1"
"TIMM9","TIMM9","TIMM9","translocase of inner mitochondrial membrane 9","14","14q23.1"
"TIMMDC1","TIMMDC1","TIMMDC1","translocase of inner mitochondrial membrane domain containing 1","3","3q13.33"
"TINF2","TINF2","TINF2","TERF1 interacting nuclear factor 2","14","14q12"
"TIPIN","TIPIN","TIPIN","TIMELESS interacting protein","15","15q22.31"
"TIPRL","TIPRL","TIPRL","TOR signaling pathway regulator","1","1q24.2"
"TJAP1","TJAP1","TJAP1","tight junction associated protein 1","6","6p21.1"
"TJP2","TJP2","TJP2","tight junction protein 2","9","9q21.11"
"TK1","TK1","TK1","thymidine kinase 1","17","17q25.3"
"TKT","TKT","TKT","transketolase","3","3p21.1"
"TLE3","TLE3","TLE3","transducin like enhancer of split 3","15","15q23"
"TLE4","TLE4","TLE4;TLE1","transducin like enhancer of split 4","9","9q21.31"
"TLK1","TLK1","TLK1","tousled like kinase 1","2","2q31.1"
"TLK2","TLK2","TLK2","tousled like kinase 2","17","17q23.2"
"TLN1","TLN1","TLN1","talin 1","9","9p13.3"
"TLN2","TLN2","TLN2","talin 2","15","15q22.2"
"TLR3","TLR3","TLR3","toll like receptor 3","4","4q35.1"
"TM7SF2","TM7SF2","TM7SF2","transmembrane 7 superfamily member 2","11","11q13.1"
"TM9SF1","TM9SF1","TM9SF1","transmembrane 9 superfamily member 1","14","14q12"
"TM9SF2","TM9SF2","TM9SF2","transmembrane 9 superfamily member 2","13","13q32.3"
"TM9SF3","TM9SF3","TM9SF3;RP11-34E5.1","transmembrane 9 superfamily member 3","10","10q24.1"
"TM9SF4","TM9SF4","TM9SF4","transmembrane 9 superfamily member 4","20","20q11.21"
"TMA16","TMA16","TMA16","translation machinery associated 16 homolog","4","4q32.2"
"TMA7","TMA7","TMA7","translation machinery associated 7 homolog","3","3p21.31"
"TMBIM1","TMBIM1","TMBIM1","transmembrane BAX inhibitor motif containing 1","2","2q35"
"TMBIM6","TMBIM6","TMBIM6","transmembrane BAX inhibitor motif containing 6","12","12q13.12"
"TMC6","TMC6","TMC6","transmembrane channel like 6","17","17q25.3"
"TMC8","TMC8","TMC8","transmembrane channel like 8","17","17q25.3"
"TMCC2","TMCC2","TMCC2","transmembrane and coiled-coil domain family 2","1","1q32.1"
"TMCO1","TMCO1","TMCO1","transmembrane and coiled-coil domains 1","1","1q24.1"
"TMCO4","TMCO4","TMCO4","transmembrane and coiled-coil domains 4","1","1p36.13"
"TMCO6","TMCO6","TMCO6","transmembrane and coiled-coil domains 6","5","5q31.3"
"TMCO7","TMCO7","TMCO7",NA,NA,NA
"TMED1","TMED1","TMED1","transmembrane p24 trafficking protein 1","19","19p13.2"
"TMED10","TMED10","TMED10","transmembrane p24 trafficking protein 10","14","14q24.3"
"TMED2","TMED2","TMED2","transmembrane p24 trafficking protein 2","12","12q24.31"
"TMED3","TMED3","TMED3","transmembrane p24 trafficking protein 3","15","15q25.1"
"TMED4","TMED4","TMED4","transmembrane p24 trafficking protein 4","7","7p13"
"TMED5","TMED5","TMED5","transmembrane p24 trafficking protein 5","1","1p22.1"
"TMED7","TMED7","TMED7","transmembrane p24 trafficking protein 7","5","5q22.3"
"TMED8","TMED8","TMED8","transmembrane p24 trafficking protein family member 8","14","14q24.3"
"TMED9","TMED9","TMED9","transmembrane p24 trafficking protein 9","5","5q35.3"
"TMEM102","TMEM102","TMEM102","transmembrane protein 102","17","17p13.1"
"TMEM106B","TMEM106B","TMEM106B","transmembrane protein 106B","7","7p21.3"
"TMEM109","TMEM109","TMEM109","transmembrane protein 109","11","11q12.2"
"TMEM11","TMEM11","TMEM11","transmembrane protein 11","17","17p11.2"
"TMEM115","TMEM115","TMEM115","transmembrane protein 115","3","3p21.31"
"TMEM120A","TMEM120A","TMEM120A","transmembrane protein 120A","7","7q11.23"
"TMEM123","TMEM123","TMEM123","transmembrane protein 123","11","11q22.2"
"TMEM126A","TMEM126A","TMEM126A","transmembrane protein 126A","11","11q14.1"
"TMEM126B","TMEM126B","TMEM126B","transmembrane protein 126B","11","11q14.1"
"TMEM128","TMEM128","TMEM128","transmembrane protein 128","4","4p16.3"
"TMEM141","TMEM141","TMEM141","transmembrane protein 141","9","9q34.3"
"TMEM143","TMEM143","TMEM143","transmembrane protein 143","19","19q13.33"
"TMEM147","TMEM147","TMEM147","transmembrane protein 147","19","19q13.12"
"TMEM14C","TMEM14C","TMEM14C","transmembrane protein 14C","6","6p24.2"
"TMEM159","TMEM159","TMEM159","transmembrane protein 159","16","16p12.3"
"TMEM165","TMEM165","TMEM165","transmembrane protein 165","4","4q12"
"TMEM167A","TMEM167A","TMEM167A","transmembrane protein 167A","5","5q14.2"
"TMEM173","TMEM173","TMEM173","transmembrane protein 173","5","5q31.2"
"TMEM177","TMEM177","TMEM177","transmembrane protein 177","2","2q14.2"
"TMEM179B","TMEM179B","TMEM179B","transmembrane protein 179B","11","11q12.3"
"TMEM184C","TMEM184C","TMEM184C","transmembrane protein 184C","4","4q31.23"
"TMEM186","TMEM186","TMEM186","transmembrane protein 186","16","16p13.2"
"TMEM189","TMEM189","TMEM189","transmembrane protein 189","20","20q13.13"
"TMEM192","TMEM192","TMEM192","transmembrane protein 192","4","4q32.3"
"TMEM194A","TMEM194A","TMEM194A",NA,NA,NA
"TMEM194B","TMEM194B","TMEM194B",NA,NA,NA
"TMEM199","TMEM199","TMEM199","transmembrane protein 199","17","17q11.2"
"TMEM2","TMEM2","TMEM2",NA,NA,NA
"TMEM201","TMEM201","TMEM201","transmembrane protein 201","1","1p36.22"
"TMEM205","TMEM205","TMEM205","transmembrane protein 205","19","19p13.2"
"TMEM209","TMEM209","TMEM209","transmembrane protein 209","7","7q32.2"
"TMEM214","TMEM214","TMEM214","transmembrane protein 214","2","2p23.3"
"TMEM222","TMEM222","TMEM222","transmembrane protein 222","1","1p36.11"
"TMEM223","TMEM223","TMEM223","transmembrane protein 223","11","11q12.3"
"TMEM237","TMEM237","TMEM237","transmembrane protein 237","2","2q33.1"
"TMEM245","TMEM245","TMEM245","transmembrane protein 245","9","9q31.3"
"TMEM30A","TMEM30A","TMEM30A","transmembrane protein 30A","6","6q14.1"
"TMEM33","TMEM33","TMEM33","transmembrane protein 33","4","4p13"
